index,richness,sampling_effort,mean_fnr
15,10,900,0.0010344827586206897
15,10,950,0.001724137931034483
15,10,1000,0.0
15,10,1050,0.0008620689655172415
15,10,1100,0.0008620689655172415
15,10,1150,0.003275862068965517
15,10,1200,0.0024137931034482756
15,10,1250,0.0008620689655172415
15,10,1300,0.0010344827586206897
15,10,1350,0.0
15,10,1400,0.0008620689655172415
15,10,1450,0.0
15,10,1500,0.0
16,10,1,1.0
16,10,25,0.44635152573175013
16,10,50,0.21691290726817042
16,10,100,0.10274979114452798
16,10,150,0.04969047619047618
16,10,200,0.03
16,10,250,0.015476190476190475
16,10,300,0.01
16,10,350,0.007380952380952381
16,10,400,0.005952380952380952
16,10,450,0.008095238095238095
16,10,500,0.006666666666666666
16,10,550,0.0
16,10,600,0.0016666666666666666
16,10,650,0.0
16,10,700,0.0
16,10,750,0.0023809523809523807
16,10,800,0.002857142857142857
16,10,850,0.0
16,10,900,0.0002380952380952381
16,10,950,0.0011904761904761904
16,10,1000,0.0014285714285714286
16,10,1050,0.0009523809523809524
16,10,1100,0.0
16,10,1150,0.0
16,10,1200,0.0
16,10,1250,0.0
16,10,1300,0.0
16,10,1350,0.0002380952380952381
16,10,1400,0.0
16,10,1450,0.0004761904761904762
16,10,1500,0.0
17,11,1,1.0
17,11,25,0.44922186706344974
17,11,50,0.258129585787082
17,11,100,0.11424916239571413
17,11,150,0.0487183908045977
17,11,200,0.03295402298850575
17,11,250,0.017499999999999998
17,11,300,0.0075
17,11,350,0.009666666666666667
17,11,400,0.0075
17,11,450,0.009166666666666667
17,11,500,0.005833333333333334
17,11,550,0.005
17,11,600,0.0021666666666666666
17,11,650,0.004166666666666667
17,11,700,0.0045000000000000005
17,11,750,0.0
17,11,800,0.002
17,11,850,0.0018333333333333335
17,11,900,0.001
17,11,950,0.0
17,11,1000,0.0016666666666666668
17,11,1050,0.0045000000000000005
17,11,1100,0.0
17,11,1150,0.0011666666666666668
17,11,1200,0.0011666666666666668
17,11,1250,0.0
17,11,1300,0.0
17,11,1350,0.0
17,11,1400,0.0
17,11,1450,0.0
17,11,1500,0.0
18,11,1,1.0
18,11,25,0.4471099574445162
18,11,50,0.25316283969728237
18,11,100,0.09711842105263155
18,11,150,0.053236842105263166
18,11,200,0.03280263157894737
18,11,250,0.026000000000000002
18,11,300,0.006999999999999999
18,11,350,0.01531578947368421
18,11,400,0.00525
18,11,450,0.0075
18,11,500,0.006750000000000001
18,11,550,0.0095
18,11,600,0.00075
18,11,650,0.00075
18,11,700,0.0045
18,11,750,0.0027500000000000003
18,11,800,0.0015
18,11,850,0.00075
18,11,900,0.0
18,11,950,0.0007500000000000001
18,11,1000,0.0005
18,11,1050,0.00125
18,11,1100,0.00125
18,11,1150,0.00075
18,11,1200,0.0024999999999999996
18,11,1250,0.00075
18,11,1300,0.0
18,11,1350,0.00075
18,11,1400,0.00125
18,11,1450,0.0
18,11,1500,0.0
19,12,1,1.0
19,12,25,0.47739950976432666
19,12,50,0.26920464680247286
19,12,100,0.12261794871794873
19,12,150,0.07405961538461538
19,12,200,0.05251538461538461
19,12,250,0.026630769230769232
19,12,300,0.01793846153846154
19,12,350,0.015192307692307692
19,12,400,0.016438461538461537
19,12,450,0.006153846153846154
19,12,500,0.011153846153846155
19,12,550,0.004423076923076923
19,12,600,0.0040384615384615385
19,12,650,0.001153846153846154
19,12,700,0.0
19,12,750,0.0036538461538461542
19,12,800,0.0021153846153846153
19,12,850,0.001153846153846154
19,12,900,0.000576923076923077
19,12,950,0.000576923076923077
19,12,1000,0.001346153846153846
19,12,1050,0.0007692307692307692
19,12,1100,0.0
19,12,1150,0.0
19,12,1200,0.0
19,12,1250,0.002692307692307692
19,12,1300,0.0007692307692307692
19,12,1350,0.0007692307692307692
19,12,1400,0.0
19,12,1450,0.001346153846153846
19,12,1500,0.0
20,12,1,1.0
20,12,25,0.47288968687401356
20,12,50,0.28025651444788435
20,12,100,0.12112499999999998
20,12,150,0.06998684210526317
20,12,200,0.036394736842105264
20,12,250,0.03560526315789474
20,12,300,0.022249999999999995
20,12,350,0.013328947368421051
20,12,400,0.010249999999999999
20,12,450,0.006750000000000001
20,12,500,0.0015000000000000002
20,12,550,0.0055000000000000005
20,12,600,0.0034999999999999996
20,12,650,0.0027500000000000003
20,12,700,0.0032500000000000003
20,12,750,0.0
20,12,800,0.00075
20,12,850,0.0015
20,12,900,0.00375
20,12,950,0.00025
20,12,1000,0.00025
20,12,1050,0.004
20,12,1100,0.0
20,12,1150,0.0
20,12,1200,0.00125
20,12,1250,0.00125
20,12,1300,0.00075
20,12,1350,0.0005
20,12,1400,0.0
20,12,1450,0.0
20,12,1500,0.0
21,12,1,1.0
21,12,25,0.46902377846611587
21,12,50,0.26398691274755515
21,12,100,0.12173890608875128
21,12,150,0.06745528035775714
21,12,200,0.04114035087719298
21,12,250,0.021842105263157895
21,12,300,0.015000000000000003
21,12,350,0.013157894736842106
21,12,400,0.006315789473684209
21,12,450,0.007105263157894737
21,12,500,0.01026315789473684
21,12,550,0.002631578947368421
21,12,600,0.0015789473684210526
21,12,650,0.003421052631578947
21,12,700,0.0023684210526315787
21,12,750,0.005263157894736842
21,12,800,0.0023684210526315787
21,12,850,0.0010526315789473684
21,12,900,0.0013157894736842105
